Ulasan,Translated_Ulasan
msi memang barangnya dari dulu berkualitas beruntung dapat harga yang murah,"MSI has always had quality goods, lucky to get a cheap price"
bagus kokoh ori earcupnya lembut best value headset nyaman dan praktis tinggal plug play sound mantap,"good, sturdy, original earcups, soft, best value headset, comfortable and practical, just plug and play, great sound"
makasih kk paket sdh diterima dgn aman sentosa respon cepat ramah dan bersahaja ditambah pengiriman cepat sangat,"Thank you, the package has been received safely, the response is fast, friendly and modest, plus very fast delivery"
packing rapi dan strong,packing neat and strong
mantul barang sudah sampai dari kemarin baru kelar test admin mantab kurir caketan,"The goods have arrived since yesterday, the admin test has just finished, the courier is awesome"
pengiriman dan respon cepat terimakasih,fast delivery and response thank you
ok gan siap pasang thanks,"OK, bro, ready to install, thanks"
seller cepat response nya barang sesuai thanks gan siap pasang,"Seller responds quickly, item fits, thanks bro, ready to install"
mantap min,great min
mantab sat set,mantab sat set
agak aneh fellnya kerasa gemuk pendapat pribadi conector gold left pad bisa diganti desainnya keren ditunggu yg nirkabel,"It's a bit strange, it feels fat, personal opinion, the gold left pad connector can be replaced, the design is cool, waiting for the wireless one"
blm di coba karna part blm lengkap semoga gaada kendala,not yet tried because the part is not complete hopefully no obstacles
overall monitor ini sebetulnya sangat baik beli hari yang lalu sampai sekarang sangat puas dipakai untuk kerja gaming dan nonton film warna sangat jernih dan banya,"Overall, this monitor is actually very good, bought it the other day, until now I am very satisfied with using it for gaming work and watching movies, the colors are very clear and lots of them."
buat design clo mantab butuh casing yang lebar karena panjang ada kipasbuat casing yang sempit cek dulu ukurannya,"to make a good clo design, you need a wide case because there is a long fan to make a narrow case, check the size first"
ga pernah kecewa sama barang msi sayangnya force gc v white yg wireless ga ada anyway produk sesuai deskripsi berfungsi dengan baik kabel usb lumayan panjang p,"Never been disappointed with MSI items. Unfortunately the Force GC V White wireless one is not available. Anyway, the product matches the description, works well. The USB cable is quite long."
suhu jadi adem guys terimakasih msi,"The temperature is cool, guys, thank you MSI"
packing nya bagus ramah dna tepat waktu sejauh ini lengkap dan berfungsi dengan baik,"the packaging is good, friendly and on time, so far it is complete and works well"
keren pokoknya best lah ampe bongkarnya udah kek bongkar apaan tapi demi kepuasan konsumennya patut diacungi jempol siih,"It's cool, it's really good until it's already disassembled, but for the sake of customer satisfaction, it deserves a thumbs up."
pembelian ke dua karena bagus desainnya dan nyaman digunakan packing super aman bisa requeat produk yang paling bagus kondisinya,"Second purchase because the design is good and comfortable to use, the packaging is super safe, you can get the product in the best condition"
desain bagus warna keemasan mouse meluncur halus dan mudah juga untuk stop,"nice design, golden color, the mouse glides smoothly and is also easy to stop"
good seller packing rapih dan produknya kepake banget,"good seller, neat packaging and the product is really useful"
ada stuck pixel nya nanti diupdate kalau dpt solusi atau udah ilang stuck pixelnya,"There is a stuck pixel, we will update later if we get a solution or the stuck pixel disappears"
sebenarnya toko dan produknya bagus tapi saya memberikan bintang lebih ke karena pengalaman berbelanja yang kurang menyenangkan semoga dari pihak manajemen bisa lebih,Actually the shop and products are good but I gave more stars because the shopping experience was less than pleasant. I hope the management can do better
barang sudah diterima dengan baik packing sangat rapi dan aman belum di coba karna nunggu part lain,"The goods have been received in good condition, the packaging is very neat and safe, haven't tried it yet because I'm waiting for another part"
packing sangat rapi dan gak pelit buble wrap bubble wrapny double sehingga aman nya pake bangethead set sudah dicoba untuk kualitas bahan terjamin mantap karena merk,"the packing is very neat and not stingy, the bubble wrap is double bubble wrap, so it's really safe to use, the head set has been tested, the quality of the material is guaranteed to be good because of the brand"
pengiriman agak telat,delivery is a bit late
nyaman dipakai dpi nya juga bisa di finetune via software meskipun opsi lighting nya cuma breathing dan aja,"comfortable to use, the dpi can also be fine-tuned via software, although the lighting option is only breathing"
mantap barang sampai dengan baik barang bekerja dengan baik mantap lah,"great, the goods arrived well, the goods work well, that's great"
nyala semoga awet,hope it lasts
mantap packingnya bubble warpnya juga tebel lembar fisik monitor juga oke sudah ditest juga cuma kurang diadmin toko aja yg kurang aktif balas chat,"The packaging is great, the bubble wrap is also thick, the physical sheet of the monitor is also okay, it has been tested too, but the shop admin is not very active in replying to chats."
bukan barang baru segel tapi bekas display plastik tempat baut sudah sobek dan baut sudah pernah dipakai pantes aja pas buka pertama mau dites kondisi layar udah kotor,"It's not a new item, it's sealed, but the plastic display where the bolt is, has been torn and the bolt has been used, but when you open it for the first time, you want to test it, the condition of the screen is already dirty."
pelayanan ramah dan sigap barang sesuai spec dan berjalan baik,"Friendly and prompt service, goods according to spec and working well"
mantap terpercaya,solid and reliable
barang original dan sesuai packing aman pengiriman cepat,"Original item and safe packaging, fast delivery"
barang sampai dengan aman tapi belum di rakit nunggu barang lainnya,the goods arrived safely but have not been assembled waiting for other goods
top,top
cakep belum dicoba tapi packing super aman,"beautiful, haven't tried it yet but the packaging is super safe"
ini mah kelewat cepat sampainya keren bubblewrap nya berlapislapis dijamin aman,"This arrived too quickly, cool, the bubble wrap is layered and guaranteed safe"
barang oke pengiriman lama day order dari pagi dikirim besoknya,"Goods okay, delivery took a long day, order from morning was sent the next day"
brg nya bagus tetapi pelayanannya sangat kurang sekali solusi yg diberikan tidak membantu sama sekali customer service nya zero knowledge jd kl beli brg ini sebaikn,"the goods are good but the service is very poor, the solutions given don't help at all the customer service is zero knowledge so if you buy this product it's best"
proses n kirim express reply chat barang ok terima kasih sehat selalu n sukses utk store staff n kurir,"process and send express reply chat, goods okay, thank you, always healthy and successful for the store staff and couriers"
dead pixel bleeding,dead pixel bleeding
barang pertama datang dengan kondisi rusak karena miss dengan kurir dan ada dead pixel major barang pengganti datang dengan kondisi lebih bagus walaupun masih ada dead,The first item arrived in damaged condition due to a miss with the courier and there were major dead pixels. The replacement item arrived in better condition although there were still dead parts.
ada miskomunikasi pertama dengan kurir barang datang tanpa packing kayu alhasil barangnya rusak,There was a first miscommunication with the courier when the goods arrived without wooden packaging as a result the goods were damaged
barang dipesan dengan packaging kayu dan diterima tanpa packing kayu dikomplain malah disuruh menghubungi pihak ekspedisi komplain pihak ekspedisi disuruh menghubungi p,"the goods were ordered with wooden packaging and received without wooden packaging. Complaints were instead told to contact the expedition party. Complaining, the expedition party was told to contact p"
mantab,great
sedap sekali smoga awet aamiin yra,"It's really delicious, I hope it lasts, amen, yra"
sumpah keren banget pertama karna engga di packing kayu ketinggalan di check tapi sumpah aman banget pas datang dikasih bubble wrap berlapis lapis untuk,"I swear it's really cool first because it's not packed in wood, it's left behind in the check, but I swear it's very safe when it comes, I was given layered bubble wrap for it"
kualitas sangat bagus untuk harga yang cukup rendah,Very good quality for a fairly low price
tampilan bagus dimensi besar bisa muat komponen yg besar juga harga sudah termasuk free kipas depan belakang quality control yg baik suhu juga aman di pakai sehar,"good appearance, large dimensions can fit large components, price includes free front and rear fan, good quality control, temperature is also safe for daily use"
sesuai pesanan,according to order
toko dan adminya keren bgt fast respon,"The shop and admin are really cool, fast response"
respon cepat,quick response
hardware sesuai pesanan tes ok running normal,"hardware according to order, test ok, running normally"
barang sudah datang sudah dicoba berfungsi dengan baik,The item has arrived and has been tested and works well
mendarat dengan aman,landed safely
barang mantap kirim cepat respon bagus,"great item, fast delivery, good response"
barang sesuai,appropriate item
terimakasih banyak ya tapi belum dicoba,"Thank you very much, but haven't tried it yet"
terimakasih barang sesuai admin fast respon semoga awet,"Thank you, item according to admin, fast response, hopefully it will last"
mangtap comment need thiss perfect mau cerita dikit begitu barang nyampe eh mau di scam pake trojan dengan alasan mau verif barang sama pihak tak bertang,"Mangtap comment need thiss perfect, I want to tell you a little bit about how things went wrong, I want to be scammed using a trojan with the excuse of wanting to verify things with the same party."
kereeeeennnn kualitas luar biasa,awesome quality
pengiraman cepat harga bersahabat good job kualitas monitor k hz udah ga ada lawan,"Fast delivery, friendly price, good job, the quality of KhZ monitors is unrivaled"
msi terbaik monitor vga dll mantap buat gaming dan youtube,MSI is the best VGA monitor etc. Great for gaming and YouTube
barang sangat baik,very good item
barang sesuai dengan pesanan dan pengiriman cepat semoga awet thanx seller,"item as ordered and fast delivery, hope it lasts, thank you seller"
pelayanan cepat barang sesuai deskripsi mantapp,"Fast service, goods as described, great"
puas bangetrespon cepatpngiriman tepat waktu storage laptop lega,"Very satisfied, fast response, timely delivery, laptop storage is relieved"
respond dan pengiriman barang cepat paket juga aman terbungkus bubble wrap tebal,"Fast response and delivery of goods, package also safely wrapped in thick bubble wrap"
spek sesuai admin oke,specs according to admin okay
admin responsif menjawab pertanyaan barang sesuai spek tiputipu mantep,"Admin is responsive in answering questions about goods according to tipipu's specifications, great"
mantap sesuai pesanan packing aman meskipun cuma bablewrap tapi berlapis lapis,"solid according to order, safe packing even though it's only bablewrap but layered"
service nya top,the service is top
barang sudah sampai dengan selamat sesuai deskripsi dan berfungsi dengan baik,The item arrived safely as described and functions well
bagus buat kargo barang berat kuat kokoh dan gak goyang jadi aman barangnya,"good for cargo of heavy goods, strong, sturdy and does not shake, so the goods are safe"
barang mantap pelayanan cepat harga bersaing packing sangat memuaskan barang utuh nggak penyok,"Great items, fast service, competitive prices, very satisfying packaging, intact items, no dents"
packingnya tebel banget seller benar menjaga barang dari kerusakan msi joss,"The packaging is really thick, the seller really protects the goods from damage, MSI Joss"
pertama kali merakit pc dg mobo msi dah hampir th masih berpungsi dengan baik sekarang merakit lagi dg mobo msi yg jauh lebih canggih teknologinya semoga awet,"First time assembling a PC with an MSI mobo, it's been almost a year and still works well, now I'm assembling it again with an MSI mobo, the technology is much more sophisticated, hopefully it will last"
sebaiknya tanyakan masalah kabel display port ke vganya cocok ke pc kalian apa nggak sampai saat ini belum ditest karena harus nunggu beli kabel converter dulu di toped,It's best to ask whether the display port to VGA cable is suitable for your PC or not. So far it hasn't been tested because you have to wait to buy a converter cable first.
packing okeh mantep tebel bet dah,packing okay steady thick bet dah
mantab beli di official shop memang terbaik,It's great to buy at the official shop
sejauh ini berjalan dgn baik,so far so good
first impressionnya sesuai ekspetasi sih seller juga fast respon makasih msi udah bikin puas,"The first impression meets expectations, the seller also responds quickly, thank you for making me satisfied"
respon cepat dan brg bagus,fast response and good quality
barang sesuai dengan deskripsi dan berfungsi dengan baik pemasangan mudah dan osd app intuitive tidak ada dead pixel dan spectrum warna fresh box cukup bagus,"The item corresponds to the description and functions well. Installation is easy and the OSD app is intuitive, there are no dead pixels and the fresh box color spectrum is quite good"
berguna untuk pengiriman aman jarak jauh,useful for safe delivery over long distances
good lah,good lah
terima kasih barang nya sdh diterima,"Thank you, the item has been received"
barang sudah diterima dan di coba semua aman dan baik thanks,"the goods have been received and tried, everything is safe and good, thank you"
mantap admin responsif selalu membantu,"great, responsive admin always helps"
keren lah masa nggak,Isn't that cool?
dabes,dabes
recommend seller pelayana baik ramah cepat barang ori,"recommend seller, good friendly service, fast original goods"
barang yang diterima baik dan dibungkus dengan baik,Items received in good condition and well packaged
barang sudah di terima dan langsung di pakai proses cepat packing rapi dan aman tidak ada kerusakan atau cacat sedikit pun pada barang,"The goods have been received and immediately used, the process is fast, the packaging is neat and safe, there is no damage or defects in the slightest on the goods"
josss,joss
paket terlindungi dan aman,protected and safe package
pelayanan dan pengirimannya mantapp kirim lintas pulau barangnya aman karena packagingnya tebal soal kualitas barang sudah pasti juaraa recommended seller,"The service and delivery are great. Sending goods across islands is safe because the packaging is thick. Regarding the quality of the goods, it is definitely a recommended seller"
kirim lintas pulau aman packaging tebal dan kokoh,"Safe cross-island delivery, thick and sturdy packaging"
mantul,helpful
berfungsi dengan baik semoga aweet,works well hopefully aweet
packing bagus aman fast respon puas,good packing safe fast response satisfied
build qualitynya terbaik enak banget buat ngegame keyboardnya mantap dan enak digunakan,"The build quality is the best, really good for gaming, the keyboard is solid and easy to use"
produk asli ori resmi bergaransi indo semoga awet tahan lama packing tebal kurir jos syg ny trnyt ada yg jual murah slisih sktr ntah ada promo atau bagaim,"Original original product, official Indonesian guarantee, hopefully it will last a long time, thick packaging, Jos courier, I'm sorry, it seems there are some selling cheaply, sometimes there are no promotions or anything."
berfungsi dengan baik thanks,works well thanks
ini adalah salah satu pencapaian dan salah satu hadiah ulang tahun tapi beli sendiri wkwkwk mantap surantap lah pokoknya thanks msi akhirnya pc ku almost full msi,this is an achievement and a birthday present but buy it yourself hahaha great surantap anyway thanks msi finally my pc is almost full msi
barang sesuai foto dan deskripsi semoga awet penjual responsif pengirimannya juga sangat cepat,"The item matches the photo and description, hopefully it will last, the seller is responsive, the delivery is also very fast"
mantapppdatang dengan selamat belum di test,The former arrived safely and hasn't been tested yet
pengiriman sesuai jadwal packing bubble wrap berlapis luarnya dikasih wrap anti air lagi mantaap saran mobo ini baiknya buat yg mau pakai koneksi lan kabel kalau mau,"Delivery according to schedule, packing bubble wrap, outer layer with waterproof wrap, great advice, this mobo is good for those who want to use a wired LAN connection if you want."
mantap lah pokoknya blm sempet foto,"That's great, I haven't had time to take photos yet"
sampe jebol gini semoga aja nanti tidak ada kendala dengan unit nya,"until it breaks like this, hopefully there will be no problems with the unit"
wih mantab ringkes banget barangnya masib mau coba dulu,"Wow, it's really cool, it's very concise, I want to try it first"
oke cuma firmware buat lednya error terus dan gak bisa diupdate jadi gak bisa pake msi mystic light buat ubah warna led component,"ok, it's just that the firmware for the led keeps getting an error and can't be updated, so you can't use the msi mystic light to change the color of the led component"
